Ingredient_EN,CO2_kg_per_kg,source,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Peas, green, jar",1.7,German,Paraguay,2,1,1,2,0,2,1,2,0,0,0,2
"Strawberries, fresh, average",0.3,German,"Korea, Democratic People's Republic of",0,0,1,1,2,0,0,1,0,0,1,1
"Strawberries, fresh, from the region, seasonal",0.3,German,Madagascar,2,1,1,0,1,2,0,0,1,2,2,1
"Strawberries, fresh, from Spain",0.4,German,Antarctica,1,2,0,2,2,0,2,1,2,1,1,2
"Strawberries, frozen",0.7,German,El Salvador,2,1,2,0,2,2,0,0,0,1,0,1
"Strawberries, fresh, ""winter strawberries",3.4,German,Paraguay,0,0,0,0,0,1,1,2,1,0,2,0
Lettuce,0.3,German,Slovenia,2,0,0,0,0,1,0,0,1,1,0,2
Fennel,0.2,German,Algeria,0,0,1,1,2,0,1,2,0,2,2,2
"Kale, fresh",0.3,German,"Venezuela, Bolivarian Republic of",0,2,1,0,0,1,0,1,0,0,1,2
"Kale, jar",0.9,German,San Marino,0,1,0,1,0,2,0,1,2,1,2,0
Carrots,0.1,German,Estonia,1,2,0,1,2,1,1,1,1,1,1,2
"Potatoes, fresh",0.2,German,Maldives,0,0,1,1,1,1,0,2,1,0,1,1
Potatoes (organic),0.2,German,Montenegro,0,1,2,1,1,2,2,2,2,1,0,2
Mashed potato powder,0.9,German,Pitcairn,1,0,0,0,1,2,2,0,1,2,0,1
"Chickpeas, tin",1.3,German,Guinea-Bissau,2,1,1,0,1,2,2,1,0,1,1,2
Kohlrabi,0.2,German,Costa Rica,2,1,2,1,0,0,1,0,1,0,2,1
Pumpkin,0.2,German,"Palestine, State of",1,0,0,0,0,1,2,0,1,2,2,0
Leek,0.2,German,Germany,1,2,2,1,1,2,0,0,1,0,2,1
Linseed,1.4,German,South Georgia and the South Sandwich Islands,2,1,1,0,1,2,0,0,0,0,2,1
"Lentils, dried",1.2,German,Malawi,1,0,0,0,2,0,0,0,2,1,2,1
"Lentils (organic), dried",1.7,German,Holy See (Vatican City State),2,2,2,1,1,2,1,0,0,2,1,1
"Lentils, canned",1.7,German,Iraq,2,2,1,2,2,2,2,2,2,0,1,0
"Corn, canned",1.2,German,Ecuador,1,0,2,2,1,2,0,2,1,0,1,1
Orange / orange,0.3,German,Guinea,1,0,1,1,2,0,1,1,1,1,2,1
Sweet pepper,0.6,German,"Micronesia, Federated States of",1,1,0,2,1,0,2,1,1,1,1,2
"Peach, fresh",0.2,German,Saint Kitts and Nevis,1,0,1,0,0,1,0,2,2,0,2,1
"Peach, can",1.6,German,Lao People's Democratic Republic,1,0,1,0,2,1,0,1,1,1,1,2
Radish,0.2,German,Czechia,0,0,2,1,1,2,1,1,2,0,2,1
"Brussels sprouts, fresh",0.3,German,Monaco,2,2,2,2,2,1,0,0,1,2,2,2
"Brussels sprouts, frozen",0.6,German,United States,2,2,1,0,2,0,2,0,0,1,0,0
"Beetroot, fresh",0.2,German,Nauru,0,1,1,1,0,1,0,0,1,1,0,0
"Beetroot, jar",1.3,German,Mexico,1,0,1,1,0,0,2,2,2,0,2,1
"Red cabbage, fresh",0.2,German,Benin,1,2,2,0,1,2,2,0,0,0,0,1
"Red cabbage, jar",0.7,German,Saint Barthélemy,1,1,2,2,0,1,0,2,2,1,2,0
Rocket salad,0.3,German,Sierra Leone,1,0,2,1,1,2,2,2,2,1,2,1
"Cucumber, with plastic wrap",0.4,German,Cyprus,1,1,0,1,1,2,1,1,2,0,1,0
"Cucumber, without plastic wrapping",0.4,German,Eswatini,0,0,0,1,0,0,0,2,2,1,2,1
"Cucumber (organic), with plastic wrapping",0.4,German,Cuba,0,2,1,1,1,2,2,0,1,1,0,2
"Cucumber (organic), without plastic wrapping",0.4,German,"Micronesia, Federated States of",1,0,0,0,2,0,0,2,0,2,0,0
"Salad mix, washed",0.4,German,Ethiopia,2,1,2,0,2,0,1,0,1,2,1,1
Celery,0.2,German,"Virgin Islands, British",0,2,0,0,1,0,2,1,1,0,0,1
Asparagus,0.7,German,American Samoa,1,0,0,2,1,0,1,2,2,2,0,2
"Spinach, fresh",0.2,German,Ethiopia,1,1,1,1,1,0,1,2,1,2,2,1
"Spinach, leaf, frozen",0.6,German,Sao Tome and Principe,2,1,2,2,2,1,1,1,1,0,0,2
"Tomatoes, fresh, average",0.8,German,Libya,1,0,2,1,0,0,2,1,1,2,1,0
"Tomatoes, from Germany, seasonal",0.3,German,Estonia,1,2,0,1,1,2,1,1,2,1,0,0
"Tomatoes, from Southern Europe, free-range",0.4,German,Andorra,0,0,1,2,0,1,0,2,2,2,2,2
"Tomatoes (organic), fresh",1.1,German,Niue,1,0,0,2,2,1,0,1,2,1,0,2
"Tomatoes, cherry tomatoes",0.9,German,British Indian Ocean Territory,1,2,1,1,1,2,2,2,1,2,1,1
"Tomatoes, from Germany, heated greenhouse, ""winter tomato",2.9,German,South Georgia and the South Sandwich Islands,2,2,2,0,1,1,1,0,2,2,1,1
"Tomatoes, strained, composite box",1.6,German,Puerto Rico,1,2,0,0,1,0,0,1,0,2,2,0
"Tomatoes, strained, tin",1.8,German,Monaco,0,2,2,1,2,1,0,2,2,1,1,1
"Tomatoes, strained, jar",1.9,German,Syrian Arab Republic,2,0,2,2,1,0,2,0,2,0,2,0
Tomato paste,4.3,German,Chile,0,1,1,2,1,0,2,2,0,0,2,1
"Grapes, fresh, average",0.4,German,Bahamas,1,1,1,0,2,1,0,1,0,1,0,2
"Grapes, fresh, from Germany, seasonal",0.3,German,Malaysia,1,0,2,0,1,1,1,2,2,0,1,0
"Grapes, fresh, from Italy, seasonal",0.3,German,Argentina,2,0,1,1,1,2,2,1,1,1,0,2
White cabbage,0.1,German,Guernsey,0,0,0,2,2,1,0,0,0,2,0,0
Courgettes,0.2,German,Luxembourg,2,2,0,0,2,1,2,2,1,1,0,2
Onions,0.2,German,Jamaica,1,2,0,2,1,0,2,1,2,1,2,0
Butter,9.0,German,Equatorial Guinea,1,1,0,1,0,1,2,2,2,2,1,1
Butter (organic),11.5,German,Angola,0,1,2,0,1,1,0,2,2,2,1,1
Egg,3.0,German,Bahamas,0,0,1,0,2,0,1,0,2,1,0,2
"Yoghurt, natural, plastic cup paper-coated",1.7,German,El Salvador,1,1,0,0,2,1,2,2,0,2,0,2
"Yoghurt, fruit, plastic cup, paper wrapped",1.7,German,Kazakhstan,2,1,2,0,2,1,0,1,2,0,2,0
"Yoghurt (organic), natural, plastic cup paper wrapped",1.9,German,"Korea, Democratic People's Republic of",1,2,0,1,0,1,2,2,2,0,2,2
"Yoghurt substitute, soy, plastic cup paper wrapped",0.6,German,Malawi,0,2,2,1,0,0,1,0,0,2,1,1
"Cheese, average",5.7,German,Spain,0,2,1,0,2,2,0,1,0,0,1,1
"Cheese (organic), average",7.2,German,South Africa,0,1,1,0,2,0,2,2,1,1,0,2
"Cheese, fresh cheese",5.5,German,Aruba,2,2,0,2,0,2,2,0,2,0,2,2
"Cheese (organic), cream cheese",6.9,German,Niue,1,1,2,2,2,1,1,0,2,2,0,0
"Cheese, feta",7.0,German,Costa Rica,1,1,1,2,2,0,2,2,1,1,1,1
"Cheese, hard cheese, like Emmentaler",6.0,German,Romania,0,1,0,1,1,0,1,1,0,2,1,1
"Cheese, hard cheese, like Parmesan",6.3,German,Suriname,2,1,2,2,0,1,1,2,0,0,1,1
"Cheese substitute, vegan gourmet slices, based on coconut fat",2.0,German,Aruba,1,0,0,2,1,2,2,1,0,0,2,0
"Milk, ESL, whole milk, composite carton",1.4,German,Slovenia,1,0,0,0,0,1,0,0,1,0,2,2
"Milk, ESL, low-fat, composite carton",1.2,German,United States Minor Outlying Islands,0,0,0,2,2,0,1,0,0,1,1,0
"Milk, UHT, whole milk, composite carton",1.3,German,Malaysia,1,0,2,1,2,0,0,1,2,2,0,0
"Milk, UHT, low-fat, composite carton",1.1,German,Bouvet Island,2,1,1,2,1,1,2,0,2,0,2,0
"Milk (organic), ESL, whole milk, composite carton",1.7,German,Spain,2,1,1,0,2,2,2,0,2,2,0,2
"Milk substitute, spelt drink",0.3,German,Qatar,2,0,2,0,0,0,2,1,2,0,2,1
"Milk substitute, oat drink",0.3,German,Madagascar,1,2,2,2,0,0,2,1,0,0,2,1
"Milk substitute, almond drink",0.3,German,Iceland,1,2,2,2,2,0,1,1,2,2,1,2
"Milk substitute, soy drink",0.4,German,Mongolia,0,2,2,0,0,1,0,2,1,2,2,0
"Quark, 40 % fat",3.3,German,Cyprus,0,0,0,0,1,2,2,1,1,2,1,0
"Quark (organic), 40 % fat",4.1,German,Sri Lanka,2,2,2,0,0,2,1,2,2,0,0,1
"Quark, low-fat quark, 10 % fat",2.4,German,Dominican Republic,2,1,0,1,1,1,2,1,2,0,1,1
"Quark substitute, soya",0.7,German,United Kingdom,2,2,1,2,1,2,2,0,0,2,1,0
Cream,4.2,German,Monaco,0,2,1,1,1,1,2,1,1,0,2,1
Cream (organic),5.3,German,Guernsey,0,2,2,1,0,1,0,2,2,2,0,1
"Cream substitute, Oat Cuisine",0.6,German,Kyrgyzstan,2,1,0,0,0,2,1,0,2,2,1,1
Sour cream,3.0,German,Bahamas,0,0,2,1,0,0,0,2,1,0,2,0
Soya-based roast/veggie burger/patty,1.1,German,Thailand,1,2,0,1,1,2,2,2,1,0,2,2
Pea-based roast/veggie burger/patty,1.8,German,Mali,1,1,2,0,2,2,1,1,1,0,2,2
"Fish, wild caught, bulk, frozen",2.4,German,Hungary,1,1,2,0,2,1,1,0,0,0,2,0
"Fish, wild caught, speciality, frozen",10.0,German,"Moldova, Republic of",0,0,1,1,0,2,2,0,0,0,2,2
"Fish, aquaculture",5.1,German,Guernsey,0,1,0,2,2,1,1,1,0,0,1,2
"Fish, shrimp, frozen",12.5,German,Macao,1,2,2,1,0,0,2,1,1,0,2,0
"Fish, wild caught, fresh",4.0,German,Saint Martin (French part),0,0,1,0,0,2,1,1,2,0,2,2
Vegetable nugget / cutlet,1.3,German,"Saint Helena, Ascension and Tristan da Cunha",2,1,1,2,2,0,0,2,0,0,1,2
"Chicken, average",5.5,German,"Micronesia, Federated States of",0,1,1,0,2,0,1,0,0,1,2,0
"Chicken, frozen",5.7,German,Montenegro,1,0,2,1,1,2,0,2,1,1,0,1
"Chicken, nuggets",3.3,German,Montserrat,0,0,2,2,2,0,1,2,2,0,0,1
"Chicken, cold cuts",2.9,German,Guyana,1,0,2,1,0,2,2,1,2,0,0,0
Lupine meal,0.4,German,Réunion,1,1,2,0,1,0,2,0,0,2,0,1
"Beef, average",13.6,German,United States Minor Outlying Islands,2,2,2,1,2,1,2,2,1,0,1,0
Beef (organic),21.7,German,Aruba,1,1,2,1,1,1,0,2,0,2,0,1
Minced beef,9.2,German,Mali,2,1,0,0,2,0,2,2,0,0,2,1
Minced beef (organic),15.1,German,Thailand,2,1,1,1,0,2,1,1,1,2,0,2
"Beef patty/roast, frozen",9.0,German,Saint Vincent and the Grenadines,2,0,1,1,2,0,2,0,1,0,1,1
"Pork, average",4.6,German,Somalia,1,2,1,0,2,2,1,1,2,1,0,1
Pork (organic),5.2,German,Kiribati,1,0,2,0,1,2,2,0,2,0,2,2
"Pork, frozen",4.6,German,United States Minor Outlying Islands,2,0,1,2,0,0,1,2,2,2,2,1
Seitan,2.5,German,Sri Lanka,2,2,2,2,0,2,1,1,2,0,1,2
"Soy granules, Textured Vegetable Protein (TVP)",1.0,German,Türkiye,2,1,0,2,1,0,0,2,2,1,0,1
Tempeh,0.7,German,Guinea-Bissau,1,1,2,1,1,2,1,1,0,1,1,0
Tofu,1.0,German,Cameroon,0,2,1,2,2,1,1,1,1,0,2,2
"Venison, deer",11.5,German,"Tanzania, United Republic of",1,0,1,2,0,1,0,0,0,2,0,2
"Sausage, bratwurst, Thuringian grilled sausage",2.9,German,Poland,2,2,2,0,2,0,0,1,0,2,2,2
"Sausage substitute, vegan bratwurst",1.7,German,Gambia,2,1,2,1,1,1,0,0,0,1,1,2
"Cold cuts of beef, cold cuts",7.9,German,Morocco,0,0,1,1,2,0,0,2,2,2,0,0
"Bread, mixed bread",0.6,German,Samoa,1,1,1,2,2,1,0,1,0,1,0,1
"Bread (organic), mixed bread",0.6,German,"Moldova, Republic of",2,0,2,0,1,2,2,1,2,2,1,1
"Bread rolls, white bread",0.7,German,Portugal,0,2,2,1,0,1,0,0,1,1,1,0
Bulgur,0.6,German,"Virgin Islands, British",1,2,2,1,0,2,1,0,0,1,1,0
"Spelt, rice substitute",0.7,German,Liberia,2,1,0,0,0,0,1,0,0,2,2,0
"Peanuts, in shell",0.8,German,Benin,0,0,2,0,1,1,2,2,2,1,1,0
Peanut butter,2.0,German,Monaco,1,2,0,1,2,2,1,2,1,2,2,2
Pastries,1.6,German,Germany,0,0,1,0,2,1,0,1,0,0,0,1
Gnocchi,0.6,German,Bhutan,2,2,2,0,1,0,2,1,2,1,2,0
Oatmeal,0.6,German,"Saint Helena, Ascension and Tristan da Cunha",2,0,2,1,1,1,2,0,1,2,1,0
"Honey, jar",2.0,German,Israel,1,0,2,2,2,2,2,1,0,0,0,2
Coconut oil,2.3,German,Latvia,2,0,1,2,2,0,0,1,0,1,1,0
"Margarine, half-fat",1.7,German,Libya,2,2,0,0,2,0,0,0,1,1,0,0
"Margarine, full fat",2.8,German,South Sudan,2,0,0,1,0,0,0,1,1,1,1,1
"Margarine (organic), full fat",2.5,German,French Southern Territories,1,0,0,0,2,0,1,2,2,0,0,2
Pasta,0.7,German,"Iran, Islamic Republic of",2,0,0,1,2,0,1,1,2,0,2,0
Pasta (organic),0.8,German,Sudan,2,1,2,0,0,0,1,2,1,0,2,0
"Olive oil, non-returnable glass bottle",3.2,German,Zimbabwe,2,0,1,1,2,1,1,0,1,2,0,1
Palm fat,2.9,German,Equatorial Guinea,1,0,2,2,1,1,2,1,1,0,2,0
"French fries, frozen",0.7,German,Guernsey,2,1,0,0,2,1,2,2,0,1,1,2
"Rapeseed oil, non-returnable glass bottle",3.3,German,Puerto Rico,0,2,2,0,1,0,1,2,0,2,2,0
Rice,3.1,German,Bosnia and Herzegovina,1,0,0,0,2,2,2,2,0,2,2,0
"Chocolate, milk chocolate, bar, 35 % cocoa content",4.1,German,Uganda,2,0,1,0,0,1,1,1,0,2,2,1
Sunflower seeds,1.5,German,China,2,1,1,0,1,1,1,2,2,1,0,0
"Sunflower oil, non-returnable glass bottle",3.2,German,Puerto Rico,1,1,2,0,1,1,1,2,0,0,1,1
"Walnuts, in shell",0.9,German,"Taiwan, Province of China",2,0,0,0,1,1,2,0,1,2,0,2
"Sugar, beet sugar",0.7,German,American Samoa,0,1,2,1,1,1,1,1,0,0,1,1
"Sugar (organic), beet sugar",0.5,German,Seychelles,2,2,0,0,0,1,1,1,1,1,1,2
"Sugar, cane sugar",1.0,German,Antigua and Barbuda,0,2,2,1,1,0,1,0,1,1,2,0
"Sugar (organic), cane sugar",0.9,German,Barbados,1,0,0,0,2,2,0,2,0,1,1,2
"Beer, 0.5 L returnable glass bottle",0.9,German,Hungary,1,0,1,1,0,1,1,2,2,0,0,1
"Beer, 0.5 L tin can",1.0,German,Ukraine,1,2,1,0,1,0,2,2,2,1,1,1
"Coffee, powder",5.6,German,New Caledonia,0,2,1,1,1,2,0,2,1,0,1,0
"Cocoa, powder",5.0,German,Holy See (Vatican City State),1,0,1,2,2,1,2,0,2,0,2,1
"Lemonade, orange soda, 0.75 L non-returnable plastic bottle",0.4,German,Belgium,1,1,1,0,1,0,2,0,2,0,0,2
"Mineral water, 0.7 L returnable glass bottle",0.2,German,"Micronesia, Federated States of",0,1,2,0,1,0,1,2,1,0,1,0
"Juice, orange juice, 1.0 L composite carton",0.7,German,Chad,1,1,0,2,2,1,2,1,0,0,2,0
"Juice, apple juice, 1.0 L returnable glass bottle",0.4,German,Vanuatu,1,2,2,0,2,2,0,2,1,0,2,1
"Juice, apple juice, 1.0 L composite carton",0.4,German,Gabon,1,0,1,1,1,0,2,2,0,0,1,1
"Water, tap water",0.0,German,Estonia,0,0,1,0,1,1,1,2,2,2,0,1
"Wine, 0.75 L non-returnable glass bottle",1.0,German,Saint Lucia,0,0,0,1,0,1,0,1,0,2,1,1
Wheat & Rye (Bread),1.6,German,Canada,0,2,0,2,1,0,0,0,1,1,2,1
Maize (Meal),1.7,German,Faroe Islands,1,1,1,1,0,0,2,2,2,0,1,2
Barley (Beer),1.2,German,"Palestine, State of",2,0,0,0,2,2,1,2,1,1,1,2
Oatmeal,2.5,German,Tonga,2,2,1,2,0,1,1,2,2,2,1,1
Rice,4.5,German,Niue,2,1,1,2,1,1,1,2,0,0,1,1
Potatoes,0.5,German,Bangladesh,1,1,1,1,2,2,1,2,2,0,1,2
Cassava,1.3,German,Cocos (Keeling) Islands,2,1,2,0,1,1,0,1,2,1,2,0
Cane Sugar,3.2,German,Armenia,2,0,1,0,0,1,0,0,0,0,2,1
Beet Sugar,1.8,German,Brunei Darussalam,0,0,2,0,1,1,1,1,1,1,0,0
Other Pulses,1.8,German,Tuvalu,0,1,2,2,2,0,1,2,1,0,0,2
Peas,1.0,German,Cook Islands,1,0,1,1,2,2,0,2,0,1,2,1
Nuts,0.4,German,Canada,2,0,0,0,2,0,2,2,0,2,2,2
Groundnuts,3.2,German,Pakistan,2,2,0,1,2,0,1,2,1,1,2,1
Soymilk,1.0,German,Georgia,0,1,2,2,2,2,0,1,2,0,1,0
Tofu,3.2,German,Wallis and Futuna,0,2,1,2,1,0,0,1,2,2,1,0
Soybean Oil,6.3,German,Belarus,2,2,2,0,1,2,2,1,2,0,2,2
Palm Oil,7.3,German,Cambodia,0,1,1,2,0,1,0,2,2,0,2,0
Sunflower Oil,3.6,German,Svalbard and Jan Mayen,0,2,2,1,2,2,1,0,1,0,1,2
Rapeseed Oil,3.8,German,Tokelau,1,0,2,2,0,1,1,2,0,0,0,2
Olive Oil,5.4,German,Kiribati,0,0,2,1,2,2,2,1,0,0,1,1
Tomatoes,2.1,German,Ethiopia,0,2,1,2,2,1,2,2,2,1,0,0
Onions & Leeks,0.5,German,Switzerland,0,0,0,1,1,2,1,0,1,2,0,1
Root Vegetables,0.4,German,Cocos (Keeling) Islands,1,1,2,2,0,2,2,0,1,1,1,2
Brassicas,0.5,German,Haiti,1,0,0,0,1,0,0,0,0,2,0,0
Other Vegetables,0.5,German,Christmas Island,2,2,0,2,1,0,2,2,1,1,2,1
Citrus Fruit,0.4,German,Falkland Islands (Malvinas),1,2,1,2,1,1,2,0,2,1,0,1
Bananas,0.9,German,Brunei Darussalam,2,2,2,1,1,0,1,1,0,1,0,2
Apples,0.4,German,Georgia,1,1,0,2,1,1,0,0,0,1,0,1
Berries & Grapes,1.5,German,Türkiye,0,0,1,1,0,2,2,2,2,0,1,1
Wine,1.8,German,Switzerland,0,2,1,1,2,0,0,2,0,1,1,2
Other Fruit,1.1,German,Ethiopia,0,2,0,0,2,1,2,1,0,1,0,1
Coffee,28.5,German,Somalia,2,2,0,0,1,0,0,0,1,1,0,2
Dark Chocolate,46.7,German,Norway,2,2,2,1,1,2,2,2,0,0,0,2
Bovine Meat (beef herd),99.5,German,Solomon Islands,0,0,0,2,0,0,2,1,1,2,1,2
Bovine Meat (dairy herd),33.3,German,Serbia,1,1,2,2,1,1,0,2,1,1,0,0
Lamb & Mutton,39.7,German,Chad,2,1,0,1,0,1,1,2,1,1,0,0
Pig Meat,12.3,German,Burundi,1,0,1,1,1,0,1,1,0,0,0,1
Poultry Meat,9.9,German,"Venezuela, Bolivarian Republic of",1,1,2,0,0,1,0,0,0,2,1,2
Milk,3.2,German,Maldives,2,2,1,0,1,0,2,0,0,1,0,1
Cheese,23.9,German,Yemen,2,2,1,1,1,1,0,2,1,1,2,2
Eggs,4.7,German,Central African Republic,0,0,1,1,0,0,1,1,1,2,1,0
Fish (farmed),13.6,German,Serbia,2,0,1,0,1,2,2,2,0,0,1,2
Crustaceans (farmed),26.9,German,Germany,1,2,2,0,1,0,0,0,0,1,1,0
Almond extract,0.66,German,Monaco,2,2,1,2,0,1,1,0,1,2,1,2
Almonds,2.86,German,Togo,2,2,2,1,1,0,1,2,0,1,1,2
Anchovies,4.22,German,Bahrain,0,1,0,2,2,2,1,0,0,0,1,0
Apple juice,2.44,German,Italy,0,2,0,1,1,1,1,2,1,2,2,0
Apple sauce,2.15,German,Japan,0,2,0,0,2,2,0,1,2,2,1,0
Apples,0.9,German,"Korea, Democratic People's Republic of",1,1,1,1,1,0,2,0,0,1,0,1
Apples - dried,6.98,German,Marshall Islands,1,2,1,0,0,1,0,1,2,2,1,1
Apples - frozen,2.12,German,Svalbard and Jan Mayen,2,1,2,0,0,1,1,1,2,1,0,1
Apricot,0.43,German,Antigua and Barbuda,0,1,2,1,2,1,1,0,0,2,0,2
Artichoke,0.34,German,Kenya,0,1,2,2,2,1,0,2,0,2,0,0
Asparagus,7.03,German,Oman,1,1,1,1,0,2,0,0,1,2,2,1
Asparagus - canned,4.18,German,Guernsey,1,2,0,1,2,0,1,0,0,0,2,2
Asparagus - frozen,3.04,German,Liechtenstein,2,2,0,0,2,2,2,1,0,1,2,2
Aubergine,3.1,German,Zimbabwe,2,0,2,2,0,2,1,2,1,2,1,1
Avocados,2.4,German,Albania,2,1,1,2,1,0,2,2,2,2,0,0
"Bacon, gammon, ham, pancetta",6.63,German,Antigua and Barbuda,1,2,0,0,1,2,0,1,1,1,1,2
Baguette,1.3,German,British Indian Ocean Territory,1,1,2,0,1,1,1,0,1,2,1,2
Baked beans,2.47,German,Sudan,2,0,0,1,2,1,2,2,2,1,2,0
Bananas,1.3,German,"Bonaire, Sint Eustatius and Saba",2,1,2,2,1,1,0,2,1,0,1,2
"Bananas - dried, chipped",4.4,German,Germany,1,0,0,2,2,2,0,1,0,0,2,1
Barley,1.12,German,Dominica,2,1,0,2,1,0,2,2,0,1,2,0
"Beans: Black beans, faba beans, haricot beans, kidney beans",0.85,German,Dominican Republic,0,0,2,0,2,0,1,2,0,1,2,0
Beef,43.33,German,Algeria,0,2,2,0,0,2,0,0,2,2,0,2
Beef Lasagne - ready meal,13.89,German,Argentina,0,1,0,1,2,2,0,1,2,2,0,2
Beef Roast - ready meal,8.89,German,Congo,0,0,2,2,0,0,2,1,1,0,2,1
"Beer bottle, cider bottle",0.88,German,Peru,0,0,0,0,2,1,0,0,2,0,0,2
"Beer can, cider can",0.66,German,Niger,0,2,0,0,1,1,2,2,0,1,2,0
Beetroot,1.14,German,Mongolia,0,1,0,2,1,0,1,1,1,2,0,1
Beetroot - pickled,3.61,German,"Taiwan, Province of China",2,0,1,1,0,2,0,1,1,1,2,1
"Bellpepper, Chili pepper",2.02,German,Iceland,0,2,0,2,1,1,1,1,0,0,1,1
"Berries - frozen (Blackberries, cherries, cranberries, …)",2.52,German,Cabo Verde,1,1,2,0,2,2,2,1,2,1,0,2
"Berries: Blackberries, blueberries, cherries, cranberries, …",2.86,German,Mexico,0,1,0,0,1,1,2,1,1,1,0,0
Biscuits,1.3,German,Sweden,2,1,1,2,0,0,2,0,1,2,2,0
Bottled water,0.32,German,Cayman Islands,0,0,1,1,0,1,1,0,0,0,2,2
Bread - brown,1.1,German,New Caledonia,2,1,0,2,1,0,0,0,1,2,2,0
Bread - rye,1.07,German,Cambodia,2,0,2,0,1,2,1,1,2,0,0,0
Bread - white,1.08,German,Lao People's Democratic Republic,1,2,1,2,2,2,2,0,0,1,0,2
Bread roll - white,1.12,German,Peru,1,0,2,1,2,1,2,0,2,1,0,1
"Bread, bread rolls",1.22,German,Christmas Island,1,2,0,0,2,2,2,0,1,1,2,2
Breakfast cereal,2.4,German,Uganda,0,0,0,0,2,1,1,0,0,2,2,0
Breakfast cereal - non-wholegrain,4.01,German,Seychelles,0,1,1,0,1,2,0,1,2,1,2,0
Breakfast cereal - wholegrain,2.35,German,United Kingdom,1,2,2,1,0,2,1,2,0,2,2,0
Broccoli,1.08,German,Togo,2,1,2,2,2,0,0,1,2,0,0,1
Brussels Sprouts,0.75,German,Holy See (Vatican City State),1,0,0,0,2,1,2,1,2,0,2,2
Brussels sprouts - frozen,1.88,German,Honduras,0,2,2,0,0,0,1,2,0,1,0,0
"Bulgur, Polenta",0.76,German,Guam,2,1,2,1,0,0,1,2,2,1,0,1
Butter,9.76,German,Tuvalu,2,0,2,2,2,1,1,2,0,1,2,2
Buttermilk,1.1,German,Maldives,2,1,0,1,2,0,0,2,1,1,2,0
Cabbage,0.62,German,Niger,0,1,2,0,1,0,1,0,2,1,0,1
Cabbage - pickled,2.57,German,Réunion,0,0,2,0,0,0,1,0,0,2,0,0
Cabbage - pre-cut,1.37,German,Oman,0,0,0,1,0,1,0,2,2,2,1,1
Cacao nibs,2.66,German,Dominican Republic,1,0,2,2,0,0,1,0,2,1,2,0
"Cacao powder, Cocoa drink powder",4.44,German,French Polynesia,2,2,1,2,1,2,1,1,2,0,2,2
Cake - chocolate,3.67,German,Tuvalu,0,2,1,2,0,2,1,0,0,2,2,2
"Cake, scones",3.06,German,Puerto Rico,1,2,1,0,1,2,0,1,0,0,1,1
Carrot,1.13,German,French Southern Territories,2,1,1,0,2,1,2,0,0,1,2,1
Carrots - canned,1.93,German,Lebanon,2,2,0,0,2,0,1,0,1,1,0,2
